player_name,Nationality,Preferred Foot,Date of Birth,appearances_,sub_appearances,XA,pass_attempts,pass_accuracy,long_pass_attempts,long_pass_accuracy,Minutes Played,Duels Won,Total Tackles,Interceptions,Blocks,Red Cards,Yellow Cards,XG,Touches in the Opposition Box,Aerial Duels Won,Assists,Shots On Target Inside the Box,cross_attempts,cross_accuracy,dribble_attempts,dribble_accuracy,Fouls,Goals,Hit Woodwork,Offsides,Shots On Target Outside the Box,Corners Taken,Appearances,free_kick_attempts,free_kicks_scored,Passes,Own Goals,Penalties Taken,Goals Conceded,Clean Sheets,Saves Made,Penalties Faced,penalty_attempts,penalties_scored,penalties_saved,penalty_save_precentage,player_image_url,player_country,player_club,player_position,player_stats_url,Age
Matthew Dibley-Dias,New Zealand,Right,2003-10-29,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/515023.png,New Zealand,Fulham,Midfielder,https://www.premierleague.com/en/players/515023/matthew-dibley-dias/stats,21
Tyler Dibling,England,Left,2006-02-17,33,13,1.46,586,84,24,58,1874,139,34,8,5,0,6,2.56,50,10,0,8,19,16,88,51,30,2,2,2,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/496661.png,England,Southampton,Midfielder,https://www.premierleague.com/en/players/496661/tyler-dibling/stats,19
Eric Dier,England,Right,1994-01-15,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/93264.png,England,Tottenham Hotspur,Defender,https://www.premierleague.com/en/players/93264/eric-dier/stats,31
Lucas Digne,France,Left,1993-07-20,32,4,4.01,980,83,70,43,2358,127,65,25,4,0,4,0.8,28,39,4,0,82,28,18,50,21,0,0,7,6,57,0,5,5,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/101188.png,France,Aston Villa,Defender,https://www.premierleague.com/en/players/101188/lucas-digne/stats,32
Issa Diop,France,Right,1997-01-09,21,6,0.1,755,88,85,46,1335,51,26,9,7,0,2,0.53,14,20,0,0,0,0,2,50,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/219924.png,France,Fulham,Defender,https://www.premierleague.com/en/players/219924/issa-diop/stats,28
Axel Disasi,France,Right,1998-03-11,13,4,0.09,542,90,20,55,853,40,15,7,2,0,3,0.28,8,13,0,0,0,0,16,63,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/220362.png,France,Aston Villa,Defender,https://www.premierleague.com/en/players/220362/axel-disasi/stats,27
Roman Dixon,England,Right,2004-12-26,0,0,0.0,16,56,3,33,90,5,5,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Everton,Defender,https://www.premierleague.com/en/players/496178/roman-dixon/stats,20
Nasser Djiga,Burkina Faso,Right,2002-11-15,5,4,0.01,46,83,7,29,65,2,0,2,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Burkina Faso,Wolverhampton Wanderers,Defender,https://www.premierleague.com/en/players/531170/nasser-djiga/stats,22
Ben Doak,Scotland,Right,2005-11-11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/496208.png,Scotland,Liverpool,Forward,https://www.premierleague.com/en/players/496208/ben-doak/stats,19
Lewis Dobbin,England,Left,2003-01-03,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/461421.png,England,Aston Villa,Forward,https://www.premierleague.com/en/players/461421/lewis-dobbin/stats,22
Matt Doherty,Ireland,Right,1992-01-16,30,5,1.22,1210,85,144,51,2113,116,38,22,15,0,6,1.04,28,56,1,5,22,5,18,61,18,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/87835.png,Ireland,Wolverhampton Wanderers,Defender,https://www.premierleague.com/en/players/87835/matt-doherty/stats,33
Jérémy Doku,Belgium,Right,2002-05-27,29,13,3.8,700,84,6,83,1513,171,31,4,1,0,1,1.32,182,0,6,15,59,19,167,64,10,3,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/248875.png,Belgium,Manchester City,Forward,https://www.premierleague.com/en/players/248875/jeremy-doku/stats,23
Nicolás Domínguez,Argentina,Right,1998-06-28,34,11,1.59,927,88,41,54,1970,134,86,29,12,0,9,1.53,34,27,1,0,6,33,7,43,33,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/250199.png,Argentina,Nottingham Forest,Midfielder,https://www.premierleague.com/en/players/250199/nicolas-dominguez/stats,27
Janoi Donacien,St Lucia,Right,1993-11-03,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,St Lucia,Ipswich Town,Defender,https://www.premierleague.com/en/players/154936/janoi-donacien/stats,31
Jamie Donley,Northern Ireland,Left,2005-01-03,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/513588.png,England,Tottenham Hotspur,Forward,https://www.premierleague.com/en/players/513588/jamie-donley/stats,20
Patrick Dorgu,Denmark,Left,2004-10-26,12,2,1.27,389,86,9,67,842,77,31,4,0,1,3,0.43,33,16,0,4,39,8,9,33,17,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Denmark,Manchester United,Defender,https://www.premierleague.com/en/players/596777/patrick-dorgu/stats,20
Alfie Dorrington,England,Right,2005-04-20,1,1,0.0,16,94,0,0,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/519321.png,England,Tottenham Hotspur,Defender,https://www.premierleague.com/en/players/519321/alfie-dorrington/stats,20
Abdoulaye Doucouré,Mali,Right,1993-01-01,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/121599.png,Mali,Everton,Midfielder,https://www.premierleague.com/en/players/121599/abdoulaye-doucoure/stats,32
Cheick Doucouré,Mali,Right,2000-01-08,13,9,0.11,203,86,13,62,445,30,16,11,0,0,1,0.4,4,5,0,0,0,0,4,50,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/438464.png,Mali,Crystal Palace,Midfielder,https://www.premierleague.com/en/players/438464/cheick-doucoure/stats,25
Flynn Downes,England,Right,1999-01-20,27,2,1.44,1104,91,42,45,2154,113,49,32,9,0,12,0.63,22,17,0,4,0,0,16,50,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/220585.png,England,Southampton,Midfielder,https://www.premierleague.com/en/players/220585/flynn-downes/stats,26
Tommy Doyle,England,Right,2001-10-17,24,21,0.33,370,85,65,63,475,22,11,5,5,0,1,0.55,4,1,1,0,0,0,6,83,5,0,0,0,5,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/220394.png,England,Wolverhampton Wanderers,Midfielder,https://www.premierleague.com/en/players/220394/tommy-doyle/stats,23
Callum Doyle,England,Left,2003-10-03,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Manchester City,Defender,https://www.premierleague.com/en/players/472767/callum-doyle/stats,21
Radu Dragusin,Romania,Right,2002-02-03,16,2,0.16,836,85,87,29,1251,53,10,15,16,0,1,0.12,12,34,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/493125.png,Romania,Tottenham Hotspur,Defender,https://www.premierleague.com/en/players/493125/radu-dragusin/stats,23
Rodrigo Ribeiro,Portugal,Right,2005-04-28,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/551232.png,Portugal,Nottingham Forest,Forward,https://www.premierleague.com/en/players/551232/rodrigo-ribeiro/stats,20
Joshua Duffus,England,Right,2004-12-15,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Brighton and Hove Albion,Forward,https://www.premierleague.com/en/players/532528/joshua-duffus/stats,20
Paul Dummett,Wales,Right,1991-09-26,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/106618.png,Wales,Newcastle United,Defender,https://www.premierleague.com/en/players/106618/paul-dummett/stats,33
Lewis Dunk,England,Right,1991-11-21,25,2,1.04,1934,91,180,50,2083,79,17,13,18,0,5,0.81,21,52,0,5,0,0,0,0,7,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/83299.png,England,Brighton and Hove Albion,Defender,https://www.premierleague.com/en/players/83299/lewis-dunk/stats,33
Jhon Durán,Colombia,Left,2003-12-13,20,16,0.25,159,72,9,44,626,45,8,0,0,1,3,4.86,49,19,0,11,0,0,13,23,14,7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/476344.png,Colombia,Aston Villa,Forward,https://www.premierleague.com/en/players/476344/jhon-duran/stats,21
Kiano Dyer,England,Right,2006-11-21,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/559963.png,England,Chelsea,Midfielder,https://www.premierleague.com/en/players/559963/kiano-dyer/stats,18
Luis Díaz,Colombia,Right,1997-01-13,36,8,4.46,826,86,40,85,2410,136,39,7,0,0,2,12.02,181,14,5,31,32,34,104,51,48,13,2,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/244731.png,Colombia,Liverpool,Forward,https://www.premierleague.com/en/players/244731/luis-diaz/stats,28
Martin Dúbravka,Slovakia,Right,1989-01-15,0,0,0.0,278,76,96,30,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,5,29,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/67089.png,Slovakia,Newcastle United,Goalkeeper,https://www.premierleague.com/en/players/67089/martin-dubravka/stats,36
George Earthy,England,Right,2004-09-05,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/490885.png,England,West Ham United,Midfielder,https://www.premierleague.com/en/players/490885/george-earthy/stats,20
Coby Ebere,Germany,Right,2005-09-17,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Germany,Everton,Forward,https://www.premierleague.com/en/players/504296/coby-ebere/stats,19
Malcolm Ebiowei,England,Left,2003-09-04,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/450535.png,England,Crystal Palace,Forward,https://www.premierleague.com/en/players/450535/malcolm-ebiowei/stats,22
Claudio Echeverri,Argentina,Right,2006-01-02,1,1,0.01,0,0,0,0,5,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Argentina,Manchester City,Midfielder,https://www.premierleague.com/en/players/575204/claudio-echeverri/stats,19
George Edmundson,England,Right,1997-08-15,1,1,0.0,2,50,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/214964.png,England,Ipswich Town,Defender,https://www.premierleague.com/en/players/214964/george-edmundson/stats,28
Samuel Edozie,England,Right,2003-01-28,2,2,0.16,29,83,0,0,64,6,3,0,0,0,1,0.0,11,0,0,0,4,25,4,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/490503.png,England,Southampton,Midfielder,https://www.premierleague.com/en/players/490503/samuel-edozie/stats,22
Tom Edozie,England,Right,2006-05-18,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Wolverhampton Wanderers,Forward,https://www.premierleague.com/en/players/596054/tom-edozie/stats,19
Ronnie Edwards,England,Right,2003-03-28,1,1,0.0,0,0,0,0,12,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/500926.png,England,Southampton,Defender,https://www.premierleague.com/en/players/500926/ronnie-edwards/stats,22
Bilal El Khannouss,Morocco,Right,2004-05-10,32,5,3.11,955,80,83,69,2193,116,50,6,4,0,4,1.31,38,19,3,7,48,19,57,60,30,2,3,1,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/513527.png,Morocco,Leicester City,Midfielder,https://www.premierleague.com/en/players/513527/bilal-el-khannouss/stats,21
Idris El Mizouni,Tunisia,Right,2000-09-26,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Tunisia,Ipswich Town,Midfielder,https://www.premierleague.com/en/players/441598/idris-el-mizouni/stats,24
Anthony Elanga,Sweden,Right,2002-04-27,38,7,5.11,632,78,22,50,2507,115,19,6,1,0,1,4.47,122,24,11,15,76,17,64,39,9,6,1,18,10,86,0,6,6,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/449434.png,Sweden,Nottingham Forest,Forward,https://www.premierleague.com/en/players/449434/anthony-elanga/stats,23
Harvey Elliott,England,Left,2003-04-04,18,16,0.65,269,85,24,75,360,11,5,1,2,0,1,1.76,23,1,2,4,0,0,8,50,0,1,1,1,3,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/444884.png,England,Liverpool,Midfielder,https://www.premierleague.com/en/players/444884/harvey-elliott/stats,22
Mohamed Elneny,Egypt,Right,1992-07-11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/153256.png,Egypt,Arsenal,Midfielder,https://www.premierleague.com/en/players/153256/mohamed-elneny/stats,33
Landon Emenalo,England,Left,2008-01-18,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Chelsea,Midfielder,https://www.premierleague.com/en/players/611912/landon-emenalo/stats,17
Johnny Emerson,Scotland,Right,2005-11-30,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Scotland,Newcastle United,Forward,https://www.premierleague.com/en/players/559677/johnny-emerson/stats,19
Lander Emery,Spain,Right,2003-03-29,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Spain,Aston Villa,Goalkeeper,https://www.premierleague.com/en/players/646754/lander-emery/stats,22
Thiago Silva,Brazil,Right,1984-09-22,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/51090.png,Brazil,Chelsea,Defender,https://www.premierleague.com/en/players/51090/thiago-silva/stats,40
Julio Enciso,Paraguay,Right,2004-01-23,25,11,1.06,354,74,14,43,1164,94,12,1,1,0,3,1.75,46,14,3,6,15,13,76,53,12,2,1,0,12,25,0,1,2,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/474120.png,Paraguay,Ipswich Town,Midfielder,https://www.premierleague.com/en/players/474120/julio-enciso/stats,21
Wataru Endo,Japan,Right,1993-02-09,20,19,0.1,189,94,0,0,261,24,12,6,1,0,0,0.0,3,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/158983.png,Japan,Liverpool,Midfielder,https://www.premierleague.com/en/players/158983/wataru-endo/stats,32
Ethan Ennis,England,Right,2004-12-11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Manchester United,Midfielder,https://www.premierleague.com/en/players/493962/ethan-ennis/stats,20
Christian Eriksen,Denmark,Both,1992-02-14,23,12,2.61,657,86,62,60,1059,24,19,7,5,0,4,1.36,17,2,2,0,26,31,0,0,8,1,1,0,5,62,0,3,3,0,0,0,0,0,0,0,1,1,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/80607.png,Denmark,Manchester United,Midfielder,https://www.premierleague.com/en/players/80607/christian-eriksen/stats,33
Mateus Fernandes,Portugal,Right,2004-07-10,36,2,3.64,1236,85,89,65,2919,208,89,28,8,0,8,4.01,50,15,4,18,40,18,98,50,46,2,0,4,14,54,0,4,4,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/551226.png,Portugal,Southampton,Midfielder,https://www.premierleague.com/en/players/551226/mateus-fernandes/stats,21
Romain Esse,England,Left,2005-05-13,7,6,0.42,42,76,4,50,135,17,9,1,0,0,0,0.32,11,3,1,0,0,0,6,33,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Crystal Palace,Midfielder,https://www.premierleague.com/en/players/606921/romain-esse/stats,20
Pervis Estupiñán,Ecuador,Left,1998-01-21,30,4,2.49,1308,88,59,44,2403,150,65,37,5,0,5,1.17,36,46,1,0,80,28,32,59,36,1,0,3,13,37,0,3,3,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/204214.png,Ecuador,Brighton and Hove Albion,Defender,https://www.premierleague.com/en/players/204214/pervis-estupinan/stats,27
Jonny Evans,Northern Ireland,Both,1988-01-03,7,4,0.03,214,89,12,50,314,24,8,5,2,0,1,0.13,3,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/37642.png,Northern Ireland,Manchester United,Defender,https://www.premierleague.com/en/players/37642/jonny-evans/stats,37
Jake Evans,England,Right,2008-06-04,4,4,0.0,3,67,0,0,21,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Leicester City,Forward,https://www.premierleague.com/en/players/630664/jake-evans/stats,17
Julian Eyestone,United States,Right,2006-04-21,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,United States,Brentford,Goalkeeper,https://www.premierleague.com/en/players/535017/julian-eyestone/stats,19
Eberechi Eze,England,Right,1998-06-29,34,3,4.68,914,82,65,55,2600,164,39,11,0,0,1,10.5,104,7,8,27,29,24,129,52,13,8,5,9,35,62,0,16,16,0,0,0,0,0,0,0,2,1,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/232413.png,England,Crystal Palace,Midfielder,https://www.premierleague.com/en/players/232413/eberechi-eze/stats,27
Lukasz Fabianski,Poland,Right,1985-04-18,14,1,0.0,439,64,251,37,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,2,50,3,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/37096.png,Poland,West Ham United,Goalkeeper,https://www.premierleague.com/en/players/37096/lukasz-fabianski/stats,40
Wout Faes,Belgium,Right,1998-04-03,34,4,0.43,1550,88,176,45,2812,103,42,26,35,0,4,1.53,28,47,0,0,0,0,6,83,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/218218.png,Belgium,Leicester City,Defender,https://www.premierleague.com/en/players/218218/wout-faes/stats,27
Romain Faivre,France,Left,1998-07-14,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/441240.png,France,Bournemouth,Midfielder,https://www.premierleague.com/en/players/441240/romain-faivre/stats,27
Amar Fatah,Sweden,Right,2004-02-19,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Sweden,Manchester City,Forward,https://www.premierleague.com/en/players/560293/amar-fatah/stats,21
Abdul Fatawu,Ghana,Left,2004-03-08,11,5,1.42,158,68,20,55,577,84,21,4,0,0,0,0.42,28,14,2,3,30,20,57,51,11,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/531442.png,Ghana,Leicester City,Forward,https://www.premierleague.com/en/players/531442/abdul-fatawu/stats,21
Ansu Fati,Spain,Right,2002-10-31,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/465607.png,Spain,Brighton and Hove Albion,Forward,https://www.premierleague.com/en/players/465607/ansu-fati/stats,22
Josh Feeney,England,Right,2005-05-06,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/536110.png,England,Aston Villa,Defender,https://www.premierleague.com/en/players/536110/josh-feeney/stats,20
Nathan Ferguson,England,Right,2000-10-06,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/232423.png,England,Crystal Palace,Defender,https://www.premierleague.com/en/players/232423/nathan-ferguson/stats,24
Evan Ferguson,Ireland,Right,2004-10-19,21,18,0.4,93,76,5,40,387,23,7,1,2,0,0,0.54,20,9,0,2,0,0,7,57,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/487117.png,Ireland,West Ham United,Forward,https://www.premierleague.com/en/players/487117/evan-ferguson/stats,20
Enzo Fernández,Argentina,Right,2001-01-17,36,4,6.22,1778,84,172,58,2946,159,65,13,7,0,8,6.13,85,15,7,14,45,20,47,55,52,6,0,2,14,74,0,2,2,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/448047.png,Argentina,Chelsea,Midfielder,https://www.premierleague.com/en/players/448047/enzo-fernandez/stats,24
Jota Silva,Portugal,Right,1999-08-01,31,26,1.84,171,66,15,40,840,81,27,12,1,0,5,2.11,48,21,1,8,21,19,25,40,24,3,1,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/510500.png,Portugal,Nottingham Forest,Forward,https://www.premierleague.com/en/players/510500/jota-silva/stats,26
